"";"q1";"q2";"q3";"q4";"q5";"q6";"q7";"q8";"q9";"q10";"q25";"q26";"q27";"q28";"q29";"q30";"q31"
"sub01173";0,84;0,28;0,56;0,69;0,94;0,77;0,78;0,8;0,999;0,63;0,17;0,43;0,73;0,86;0,96;0,69;0,85
"sub00078";0,84;0,73;0,81;0,83;0,95;0,86;0,86;0,85;0,9;0,81;0,5;0,65;0,42;0,53;0,91;0,84;0,77
"sub00950";0,06;0,43;0,59;0,53;0,04;0,21;0,45;0,23;0,27;0,18;0,4;0,53;0,44;0,11;0,71;0,73;0,53
"sub01133";0,74;0,43;0,36;0,73;0,69;0,39;0,37;0,33;0,7;0,42;0,13;0,1;0,13;0,37;0,83;0,8;0,2
"sub01546";0,17;0,58;0,89;0,22;0,29;0,3;0,999;0,48;0,54;0,5;0,3;0,24;0,04;0,001;0,56;0,16;0,13
"sub01342";0,28;0,3;0,75;0,71;0,66;0,47;0,72;0,76;0,84;0,27;0,27;0,001;0,001;0,07;0,52;0,05;0,14
"sub00372";0,73;0,999;0,73;0,71;0,999;0,999;0,83;0,85;0,999;0,999;0,001;0,999;0,83;0,001;0,85;0,999;0,999
"sub01430";0,56;0,06;0,73;0,45;0,73;0,58;0,51;0,59;0,78;0,57;0,73;0,1;0,52;0,55;0,57;0,17;0,41
"sub00956";0,78;0,25;0,19;0,39;0,82;0,76;0,75;0,74;0,81;0,59;0,2;0,09;0,13;0,04;0,49;0,1;0,08
"sub00738";0,5;0,66;0,71;0,67;0,69;0,55;0,69;0,85;0,86;0,76;0,14;0,11;0,24;0,83;0,45;0,25;0,27
"sub00482";0,74;0,74;0,25;0,37;0,8;0,67;0,78;0,76;0,7;0,75;0,09;0,17;0,65;0,24;0,999;0,6;0,16
"sub00349";0,54;0,8;0,999;0,82;0,67;0,51;0,79;0,83;0,999;0,999;0,82;0,75;0,52;0,001;0,78;0,5;0,52
"sub00510";0,35;0,09;0,65;0,77;0,34;0,26;0,31;0,46;0,9;0,22;0,21;0,64;0,68;0,75;0,68;0,72;0,69
"sub00662";0,23;0,51;0,9;0,77;0,47;0,38;0,75;0,97;0,82;0,84;0,04;0,26;0,82;0,57;0,5;0,68;0,9
"sub01375";0,89;0,16;0,26;0,22;0,62;0,5;0,5;0,93;0,36;0,25;0,2;0,001;0,001;0,001;0,001;0,001;0,001
"sub00278";0,5;0,54;0,35;0,18;0,57;0,51;0,31;0,37;0,65;0,6;0,18;0,01;0,02;0,01;0,61;0,66;0,18
"sub00546";0,74;0,48;0,19;0,83;0,94;0,92;0,85;0,79;0,26;0,74;0,27;0,75;0,65;0,66;0,72;0,82;0,64
"sub00011";0,63;0,55;0,26;0,64;0,86;0,82;0,91;0,88;0,33;0,89;0,63;0,001;0,001;0,001;0,51;0,22;0,24
"sub00333";0,55;0,61;0,72;0,93;0,84;0,78;0,74;0,88;0,63;0,75;0,31;0,68;0,33;0,51;0,57;0,58;0,26
"sub00539";0,001;0,27;0,001;0,23;0,46;0,59;0,8;0,88;0,999;0,46;0,04;0,001;0,001;0,001;0,001;0,001;0,001
"sub01502";0,48;0,02;0,23;0,54;0,66;0,51;0,52;0,52;0,52;0,55;0,5;0,47;0,5;0,48;0,48;0,43;0,39
"sub01009";0,48;0,39;0,79;0,74;0,51;0,72;0,999;0,999;0,78;0,44;0,04;0,5;0,37;0,72;0,97;0,31;0,84
"sub00679";0,07;0,52;0,64;0,31;0,49;0,23;0,28;0,25;0,12;0,6;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub01399";0,76;0,56;0,999;0,999;0,81;0,81;0,84;0,79;0,48;0,6;0,07;0,79;0,78;0,79;0,73;0,8;0,19
"sub01162";0,12;0,06;0,59;0,69;0,12;0,1;0,2;0,71;0,96;0,27;0,13;0,18;0,62;0,23;0,69;0,26;0,91
"sub00629";0,4;0,56;0,95;0,93;0,51;0,33;0,999;0,34;0,26;0,54;0,33;0,56;0,65;0,9;0,74;0,75;0,86
"sub00103";0,04;0,2;0,13;0,98;0,15;0,06;0,06;0,09;0,8;0,33;0,1;0,05;0,08;0,06;0,66;0,01;0,01
"sub01544";0,39;0,72;0,64;0,83;0,43;0,4;0,33;0,34;0,85;0,78;0,33;0,37;0,53;0,41;0,68;0,57;0,75
"sub00894";0,57;0,78;0,61;0,45;0,9;0,56;0,58;0,59;0,96;0,78;0,001;0,2;0,4;0,56;0,62;0,63;0,5
"sub00638";0,89;0,97;0,999;0,8;0,999;0,68;0,95;0,93;0,999;0,53;0,04;0,87;0,87;0,28;0,8;0,94;0,001
"sub01371";0,88;0,7;0,8;0,49;0,89;0,73;0,89;0,9;0,49;0,49;0,16;0,82;0,999;0,999;0,999;0,89;0,86
"sub00025";0,34;0,59;0,999;0,69;0,5;0,42;0,36;0,5;0,001;0,64;0,16;0,5;0,11;0,16;0,999;0,999;0,48
"sub01081";0,7;0,4;0,43;0,66;0,51;0,47;0,86;0,999;0,84;0,82;0,001;0,89;0,95;0,999;0,999;0,999;0,999
"sub01454";0,6;0,41;0,31;0,77;0,74;0,76;0,78;0,82;0,54;0,68;0,001;0,02;0,04;0,09;0,1;0,07;0,07
"sub00974";0,64;0,999;0,999;0,84;0,36;0,59;0,74;0,62;0,8;0,999;0,001;0,6;0,65;0,65;0,85;0,93;0,85
"sub00354";0,28;0,59;0,88;0,999;0,7;0,84;0,86;0,59;0,98;0,87;0,23;0,81;0,87;0,999;0,999;0,66;0,65
"sub00873";0,58;0,41;0,12;0,46;0,67;0,61;0,79;0,68;0,61;0,5;0,25;0,78;0,57;0,54;0,87;0,9;0,87
"sub01038";0,48;0,58;0,16;0,63;0,999;0,999;0,6;0,61;0,21;0,51;0,001;0,62;0,999;0,999;0,67;0,999;0,999
"sub00677";0,75;0,9;0,5;0,52;0,23;0,87;0,999;0,999;0,51;0,89;0,001;0,999;0,999;0,999;0,95;0,97;0,98
"sub00752";0,29;0,09;0,2;0,37;0,64;0,5;0,78;0,8;0,94;0,65;0,62;0,66;0,16;0,21;0,88;0,29;0,63
"sub00205";0,51;0,38;0,26;0,63;0,64;0,31;0,43;0,46;0,74;0,73;0,06;0,1;0,08;0,09;0,09;0,09;0,09
"sub00055";0,17;0,65;0,001;0,6;0,62;0,74;0,82;0,84;0,75;0,69;0,11;0,001;0,001;0,001;0,999;0,001;0,001
"sub01411";0,67;0,28;0,26;0,49;0,72;0,71;0,85;0,72;0,71;0,65;0,36;0,49;0,23;0,15;0,67;0,66;0,7
"sub00122";0,26;0,86;0,96;0,86;0,8;0,54;0,81;0,97;0,86;0,94;0,51;0,001;0,001;0,001;0,001;0,02;0,001
"sub00607";0,44;0,9;0,01;0,97;0,6;0,61;0,35;0,37;0,14;0,41;0,01;0,2;0,001;0,001;0,999;0,32;0,49
"sub00827";0,39;0,59;0,12;0,66;0,6;0,58;0,53;0,62;0,76;0,61;0,08;0,21;0,56;0,36;0,73;0,84;0,63
"sub01336";0,47;0,47;0,49;0,51;0,5;0,49;0,5;0,48;0,999;0,999;0,001;0,98;0,5;0,52;0,51;0,52;0,49
"sub01418";0,51;0,23;0,42;0,38;0,59;0,55;0,56;0,54;0,7;0,45;0,36;0,19;0,001;0,001;0,79;0,001;0,001
"sub00597";0,78;0,34;0,66;0,74;0,94;0,83;0,73;0,77;0,6;0,66;0,12;0,57;0,18;0,06;0,81;0,65;0,39
"sub00389";0,04;0,04;0,001;0,75;0,001;0,001;0,001;0,03;0,51;0,01;0,001;0,27;0,001;0,92;0,53;0,64;0,28
"sub01537";0,7;0,83;0,66;0,49;0,83;0,95;0,92;0,42;0,999;0,14;0,13;0,22;0,001;0,001;0,001;0,001;0,9
"sub00627";0,69;0,14;0,5;0,94;0,999;0,73;0,74;0,72;0,71;0,72;0,001;0,999;0,999;0,51;0,999;0,999;0,999
"sub01414";0,09;0,52;0,001;0,001;0,12;0,16;0,2;0,16;0,72;0,4;0,61;0,28;0,06;0,03;0,98;0,63;0,88
"sub01490";0,3;0,79;0,001;0,76;0,74;0,74;0,85;0,9;0,85;0,82;0,001;0,001;0,001;0,001;0,96;0,001;0,001
"sub00391";0,22;0,61;0,52;0,63;0,4;0,29;0,13;0,04;0,58;0,3;0,19;0,08;0,06;0,08;0,73;0,06;0,07
"sub01404";0,98;0,33;0,25;0,95;0,999;0,69;0,91;0,69;0,999;0,88;0,001;0,91;0,65;0,59;0,999;0,999;0,999
"sub00775";0,65;0,13;0,39;0,86;0,27;0,64;0,63;0,63;0,88;0,67;0,65;0,31;0,73;0,08;0,61;0,62;0,25
"sub01161";0,37;0,59;0,66;0,78;0,53;0,34;0,58;0,83;0,91;0,74;0,17;0,66;0,73;0,32;0,77;0,17;0,84
"sub00273";0,15;0,41;0,25;0,63;0,61;0,4;0,59;0,37;0,24;0,56;0,13;0,21;0,17;0,13;0,24;0,001;0,001
"sub00373";0,22;0,59;0,08;0,71;0,29;0,2;0,36;0,49;0,79;0,53;0,03;0,34;0,14;0,07;0,47;0,34;0,64
"sub00504";0,17;0,81;0,73;0,72;0,47;0,39;0,69;0,71;0,65;0,79;0,35;0,66;0,62;0,64;0,66;0,71;0,66
"sub00039";0,32;0,63;0,17;0,86;0,76;0,42;0,34;0,37;0,22;0,87;0,41;0,63;0,12;0,01;0,62;0,63;0,66
"sub01096";0,001;0,48;0,84;0,47;0,001;0,001;0,47;0,11;0,999;0,89;0,001;0,001;0,001;0,001;0,47;0,001;0,001
"sub00658";0,25;0,69;0,14;0,66;0,5;0,34;0,45;0,42;0,999;0,67;0,001;0,001;0,001;0,001;0,999;0,001;0,001
"sub01392";0,59;0,67;0,69;0,73;0,66;0,63;0,63;0,66;0,73;0,69;0,08;0,45;0,48;0,48;0,54;0,68;0,7
"sub01507";0,66;0,36;0,19;0,71;0,56;0,57;0,77;0,72;0,72;0,39;0,8;0,51;0,65;0,89;0,86;0,86;0,9
"sub00515";0,001;0,65;0,999;0,08;0,001;0,001;0,001;0,001;0,5;0,82;0,001;0,001;0,001;0,001;0,19;0,001;0,001
"sub01319";0,67;0,88;0,01;0,83;0,91;0,72;0,91;0,86;0,95;0,54;0,12;0,14;0,37;0,16;0,82;0,5;0,001
"sub01025";0,001;0,42;0,55;0,92;0,26;0,12;0,51;0,46;0,31;0,67;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub00475";0,93;0,45;0,001;0,45;0,94;0,999;0,66;0,46;0,07;0,73;0,001;0,001;0,001;0,999;0,001;0,39;0,41
"sub00463";0,19;0,74;0,001;0,64;0,69;0,999;0,77;0,66;0,999;0,51;0,001;0,999;0,001;0,57;0,999;0,52;0,001
"sub01566";0,55;0,41;0,03;0,67;0,71;0,64;0,6;0,7;0,999;0,68;0,001;0,68;0,93;0,75;0,81;0,001;0,69
"sub00663";0,16;0,46;0,001;0,73;0,36;0,23;0,19;0,24;0,42;0,26;0,01;0,06;0,001;0,001;0,02;0,001;0,001
"sub01487";0,68;0,55;0,67;0,76;0,73;0,96;0,999;0,73;0,67;0,57;0,19;0,7;0,77;0,7;0,999;0,97;0,95
"sub00457";0,66;0,39;0,46;0,54;0,84;0,71;0,82;0,8;0,89;0,83;0,61;0,39;0,41;0,74;0,95;0,59;0,64
"sub01532";0,84;0,52;0,63;0,71;0,83;0,88;0,84;0,84;0,26;0,69;0,65;0,41;0,05;0,64;0,65;0,64;0,72
"sub00686";0,52;0,26;0,25;0,44;0,51;0,63;0,64;0,64;0,999;0,62;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub01204";0,04;0,3;0,001;0,11;0,05;0,03;0,04;0,04;0,02;0,2;0,19;0,78;0,999;0,82;0,999;0,999;0,999
"sub01106";0,82;0,55;0,62;0,78;0,93;0,999;0,999;0,84;0,63;0,51;0,06;0,67;0,64;0,27;0,93;0,68;0,61
"sub00378";0,71;0,52;0,18;0,49;0,63;0,65;0,67;0,66;0,65;0,67;0,2;0,73;0,02;0,69;0,81;0,51;0,75
"sub01187";0,66;0,15;0,24;0,95;0,6;0,6;0,37;0,32;0,02;0,31;0,14;0,68;0,85;0,23;0,96;0,93;0,71
"sub00086";0,5;0,67;0,72;0,87;0,5;0,5;0,5;0,5;0,92;0,8;0,32;0,77;0,14;0,2;0,999;0,75;0,999
"sub01255";0,55;0,6;0,35;0,63;0,41;0,37;0,6;0,47;0,19;0,69;0,59;0,53;0,5;0,5;0,81;0,75;0,78
"sub00952";0,54;0,69;0,59;0,76;0,61;0,56;0,64;0,71;0,79;0,62;0,15;0,13;0,34;0,3;0,68;0,62;0,08
"sub00981";0,5;0,19;0,67;0,7;0,61;0,55;0,54;0,49;0,43;0,54;0,36;0,61;0,42;0,37;0,65;0,62;0,64
"sub00198";0,47;0,03;0,03;0,999;0,88;0,58;0,41;0,32;0,76;0,96;0,001;0,42;0,78;0,9;0,999;0,001;0,68
"sub00406";0,06;0,07;0,97;0,74;0,23;0,32;0,44;0,46;0,62;0,22;0,37;0,27;0,04;0,03;0,07;0,6;0,4
"sub01586";0,6;0,08;0,29;0,67;0,79;0,83;0,999;0,999;0,51;0,5;0,001;0,001;0,49;0,51;0,65;0,34;0,001
"sub01433";0,69;0,55;0,14;0,67;0,96;0,25;0,94;0,67;0,32;0,35;0,64;0,32;0,64;0,7;0,98;0,999;0,92
"sub01272";0,08;0,12;0,25;0,67;0,36;0,23;0,22;0,24;0,56;0,43;0,61;0,54;0,29;0,27;0,72;0,65;0,41
"sub01091";0,78;0,04;0,05;0,49;0,72;0,62;0,67;0,67;0,74;0,5;0,12;0,5;0,65;0,68;0,72;0,73;0,82
"sub01201";0,61;0,69;0,37;0,43;0,6;0,36;0,93;0,86;0,82;0,83;0,09;0,25;0,34;0,27;0,11;0,15;0,68
"sub00833";0,35;0,21;0,21;0,11;0,25;0,28;0,27;0,29;0,36;0,16;0,74;0,48;0,92;0,19;0,999;0,67;0,24
"sub00681";0,26;0,18;0,001;0,58;0,29;0,32;0,32;0,28;0,94;0,31;0,31;0,49;0,18;0,79;0,84;0,74;0,2
"sub00926";0,74;0,58;0,43;0,56;0,81;0,93;0,999;0,999;0,91;0,92;0,3;0,72;0,78;0,79;0,82;0,88;0,9
"sub00540";0,77;0,01;0,001;0,001;0,91;0,84;0,98;0,999;0,66;0,999;0,001;0,85;0,98;0,999;0,999;0,999;0,88
"sub01145";0,35;0,2;0,91;0,69;0,56;0,32;0,47;0,43;0,87;0,65;0,03;0,27;0,08;0,04;0,56;0,15;0,31
"sub00338";0,68;0,68;0,67;0,55;0,87;0,7;0,79;0,78;0,75;0,71;0,17;0,09;0,48;0,36;0,77;0,71;0,72
"sub00651";0,01;0,18;0,999;0,16;0,04;0,02;0,09;0,19;0,999;0,36;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub01275";0,17;0,39;0,26;0,78;0,69;0,24;0,23;0,35;0,73;0,6;0,5;0,63;0,39;0,66;0,84;0,999;0,999
"sub01273";0,21;0,31;0,04;0,65;0,53;0,33;0,35;0,4;0,04;0,09;0,07;0,32;0,001;0,001;0,38;0,11;0,24
"sub00989";0,43;0,59;0,67;0,66;0,58;0,61;0,67;0,8;0,999;0,79;0,41;0,3;0,59;0,62;0,34;0,1;0,001
"sub01004";0,73;0,62;0,51;0,72;0,73;0,87;0,98;0,82;0,999;0,7;0,1;0,55;0,52;0,73;0,96;0,93;0,999
"sub01176";0,21;0,05;0,06;0,4;0,14;0,48;0,95;0,999;0,36;0,81;0,21;0,84;0,001;0,98;0,001;0,01;0,999
"sub00785";0,18;0,23;0,28;0,45;0,24;0,34;0,08;0,07;0,999;0,5;0,001;0,74;0,22;0,22;0,999;0,999;0,999
"sub00719";0,21;0,66;0,47;0,83;0,25;0,19;0,52;0,33;0,82;0,51;0,001;0,29;0,27;0,62;0,78;0,16;0,16
"sub01481";0,4;0,66;0,76;0,7;0,72;0,87;0,93;0,98;0,46;0,78;0,03;0,24;0,75;0,29;0,81;0,25;0,19
"sub00697";0,67;0,7;0,999;0,999;0,7;0,75;0,86;0,66;0,95;0,85;0,18;0,29;0,65;0,29;0,999;0,999;0,999
"sub01270";0,61;0,39;0,63;0,72;0,7;0,66;0,78;0,89;0,68;0,33;0,17;0,61;0,1;0,13;0,7;0,21;0,37
"sub00743";0,5;0,68;0,41;0,66;0,58;0,54;0,55;0,5;0,31;0,72;0,45;0,6;0,001;0,35;0,37;0,001;0,001
"sub00772";0,24;0,72;0,999;0,82;0,5;0,31;0,3;0,34;0,999;0,76;0,78;0,23;0,17;0,19;0,74;0,49;0,47
"sub00958";0,63;0,19;0,999;0,999;0,999;0,49;0,49;0,5;0,72;0,999;0,18;0,2;0,001;0,6;0,999;0,999;0,001
"sub00942";0,31;0,19;0,02;0,61;0,36;0,34;0,39;0,45;0,28;0,33;0,77;0,24;0,6;0,999;0,48;0,001;0,61
"sub00976";0,23;0,5;0,78;0,62;0,25;0,29;0,47;0,63;0,42;0,58;0,12;0,59;0,88;0,2;0,999;0,999;0,999
"sub00403";0,72;0,61;0,999;0,66;0,62;0,6;0,72;0,72;0,85;0,94;0,001;0,001;0,001;0,001;0,001;0,999;0,999
"sub01095";0,26;0,25;0,29;0,28;0,42;0,41;0,4;0,49;0,57;0,34;0,35;0,3;0,12;0,17;0,22;0,55;0,27
"sub00735";0,32;0,78;0,999;0,97;0,51;0,31;0,51;0,82;0,999;0,96;0,999;0,51;0,81;0,31;0,999;0,75;0,5
"sub01424";0,01;0,41;0,001;0,41;0,41;0,16;0,19;0,5;0,01;0,52;0,74;0,001;0,001;0,001;0,001;0,001;0,001
"sub00666";0,76;0,65;0,999;0,65;0,92;0,84;0,999;0,999;0,79;0,76;0,001;0,27;0,34;0,2;0,75;0,4;0,21
"sub01306";0,15;0,14;0,77;0,71;0,87;0,51;0,51;0,51;0,63;0,52;0,32;0,61;0,2;0,6;0,62;0,61;0,66
"sub00854";0,001;0,76;0,76;0,71;0,001;0,01;0,01;0,04;0,03;0,87;0,001;0,001;0,001;0,001;0,001;0,001;0,001
"sub00560";0,98;0,82;0,27;0,7;0,97;0,999;0,999;0,999;0,96;0,53;0,02;0,89;0,66;0,9;0,999;0,999;0,98
"sub01331";0,66;0,21;0,53;0,61;0,999;0,999;0,999;0,999;0,86;0,47;0,57;0,89;0,35;0,37;0,38;0,39;0,86
"sub01406";0,37;0,88;0,62;0,6;0,66;0,49;0,58;0,999;0,68;0,62;0,44;0,43;0,57;0,49;0,61;0,63;0,5
"sub00330";0,06;0,05;0,001;0,38;0,29;0,01;0,04;0,11;0,98;0,49;0,01;0,001;0,001;0,001;0,001;0,01;0,001
"sub00618";0,84;0,49;0,96;0,97;0,89;0,999;0,98;0,98;0,98;0,78;0,06;0,35;0,6;0,93;0,92;0,93;0,91
"sub01344";0,6;0,55;0,37;0,79;0,82;0,78;0,57;0,67;0,88;0,71;0,57;0,98;0,95;0,91;0,95;0,97;0,96
"sub00433";0,58;0,43;0,26;0,43;0,94;0,46;0,51;0,72;0,56;0,5;0,16;0,18;0,8;0,69;0,77;0,8;0,74
"sub00635";0,75;0,13;0,15;0,75;0,52;0,81;0,86;0,74;0,67;0,53;0,21;0,35;0,67;0,77;0,89;0,8;0,36
"sub00805";0,9;0,78;0,66;0,69;0,8;0,94;0,78;0,64;0,98;0,53;0,32;0,87;0,66;0,35;0,92;0,98;0,86
"sub00356";0,62;0,21;0,1;0,66;0,7;0,56;0,66;0,72;0,69;0,34;0,47;0,07;0,001;0,6;0,49;0,49;0,24
"sub01007";0,85;0,19;0,15;0,56;0,96;0,66;0,76;0,76;0,53;0,51;0,21;0,57;0,57;0,28;0,74;0,14;0,6
"sub00280";0,27;0,79;0,48;0,32;0,35;0,32;0,26;0,33;0,37;0,39;0,18;0,34;0,54;0,34;0,64;0,49;0,19
"sub00729";0,13;0,63;0,48;0,21;0,09;0,19;0,27;0,27;0,44;0,04;0,07;0,001;0,01;0,01;0,03;0,03;0,001
"sub00533";0,38;0,64;0,55;0,61;0,65;0,38;0,4;0,29;0,59;0,64;0,24;0,59;0,18;0,24;0,7;0,81;0,7
"sub00778";0,001;0,65;0,11;0,51;0,001;0,001;0,02;0,001;0,62;0,7;0,49;0,001;0,63;0,001;0,999;0,13;0,31
"sub00796";0,07;0,86;0,85;0,83;0,33;0,54;0,999;0,999;0,52;0,79;0,1;0,16;0,16;0,13;0,66;0,71;0,57
"sub01577";0,19;0,24;0,12;0,13;0,66;0,28;0,96;0,87;0,14;0,87;0,62;0,16;0,04;0,11;0,05;0,51;0,17
"sub00657";0,28;0,1;0,05;0,44;0,37;0,33;0,36;0,39;0,78;0,5;0,07;0,68;0,11;0,09;0,83;0,84;0,48
"sub00182";0,31;0,12;0,29;0,54;0,42;0,65;0,55;0,37;0,59;0,59;0,17;0,69;0,15;0,62;0,79;0,52;0,8
"sub00056";0,49;0,86;0,49;0,76;0,73;0,5;0,61;0,71;0,5;0,7;0,13;0,19;0,999;0,999;0,74;0,5;0,49
"sub00046";0,46;0,07;0,96;0,24;0,52;0,52;0,58;0,67;0,45;0,37;0,35;0,19;0,07;0,13;0,1;0,03;0,07
"sub00572";0,76;0,001;0,999;0,6;0,999;0,95;0,8;0,53;0,999;0,69;0,76;0,001;0,5;0,35;0,75;0,999;0,82
"sub01565";0,27;0,87;0,96;0,49;0,51;0,51;0,81;0,999;0,07;0,75;0,001;0,001;0,81;0,02;0,97;0,71;0,76
"sub01212";0,44;0,19;0,71;0,73;0,24;0,78;0,82;0,98;0,66;0,4;0,22;0,68;0,46;0,51;0,58;0,66;0,83
"sub00766";0,16;0,13;0,05;0,25;0,26;0,12;0,19;0,28;0,36;0,31;0,51;0,24;0,51;0,71;0,84;0,49;0,72
"sub01475";0,68;0,63;0,37;0,8;0,999;0,999;0,9;0,7;0,8;0,69;0,57;0,79;0,25;0,71;0,96;0,76;0,83
"sub00125";0,13;0,08;0,52;0,43;0,66;0,21;0,43;0,38;0,68;0,76;0,09;0,02;0,02;0,001;0,001;0,001;0,13
"sub00513";0,1;0,17;0,001;0,01;0,001;0,05;0,11;0,09;0,13;0,05;0,7;0,29;0,07;0,04;0,65;0,82;0,74
"sub00783";0,11;0,36;0,54;0,61;0,33;0,55;0,35;0,27;0,64;0,19;0,001;0,06;0,06;0,06;0,67;0,12;0,16
"sub01530";0,51;0,5;0,999;0,75;0,81;0,55;0,56;0,47;0,999;0,4;0,11;0,6;0,32;0,57;0,97;0,999;0,999
"sub00602";0,7;0,84;0,12;0,65;0,76;0,78;0,999;0,999;0,88;0,64;0,01;0,001;0,4;0,73;0,75;0,06;0,001
"sub00325";0,49;0,8;0,52;0,52;0,54;0,53;0,53;0,54;0,999;0,52;0,5;0,5;0,25;0,19;0,999;0,001;0,999
"sub01181";0,75;0,07;0,13;0,35;0,88;0,9;0,68;0,75;0,95;0,34;0,001;0,03;0,001;0,57;0,55;0,001;0,16
"sub00800";0,29;0,88;0,84;0,58;0,34;0,51;0,5;0,38;0,28;0,9;0,64;0,01;0,001;0,001;0,43;0,001;0,001
"sub00047";0,001;0,12;0,19;0,64;0,51;0,3;0,57;0,52;0,07;0,23;0,001;0,001;0,001;0,66;0,001;0,001;0,001
"sub01463";0,25;0,31;0,24;0,5;0,73;0,86;0,63;0,64;0,48;0,5;0,32;0,61;0,53;0,999;0,96;0,56;0,53
"sub00516";0,85;0,56;0,16;0,76;0,74;0,73;0,999;0,999;0,75;0,67;0,001;0,33;0,72;0,8;0,999;0,51;0,79
"sub00081";0,61;0,16;0,001;0,7;0,999;0,999;0,999;0,999;0,999;0,09;0,001;0,001;0,001;0,001;0,001;0,001;0,01
"sub00927";0,11;0,27;0,19;0,31;0,14;0,1;0,11;0,09;0,36;0,3;0,02;0,06;0,03;0,05;0,08;0,08;0,01
"sub01128";0,69;0,68;0,26;0,91;0,78;0,94;0,72;0,5;0,999;0,68;0,06;0,5;0,18;0,999;0,999;0,86;0,999
"sub00688";0,37;0,53;0,001;0,52;0,72;0,63;0,999;0,999;0,999;0,4;0,62;0,29;0,7;0,85;0,999;0,87;0,999
"sub01059";0,06;0,58;0,86;0,81;0,4;0,4;0,44;0,41;0,53;0,56;0,001;0,04;0,19;0,001;0,7;0,001;0,63
"sub00442";0,49;0,5;0,49;0,49;0,49;0,5;0,5;0,5;0,5;0,5;0,5;0,001;0,001;0,5;0,001;0,49;0,5
"sub00222";0,11;0,07;0,1;0,9;0,48;0,31;0,53;0,52;0,22;0,21;0,8;0,17;0,78;0,82;0,83;0,82;0,9
"sub00360";0,28;0,53;0,66;0,38;0,53;0,51;0,63;0,65;0,38;0,54;0,16;0,3;0,36;0,38;0,45;0,5;0,62
"sub00507";0,05;0,26;0,001;0,26;0,09;0,12;0,17;0,07;0,17;0,25;0,48;0,06;0,27;0,04;0,71;0,09;0,08
"sub01389";0,78;0,14;0,03;0,86;0,999;0,8;0,84;0,8;0,999;0,23;0,001;0,16;0,97;0,1;0,999;0,85;0,15
"sub00881";0,69;0,31;0,61;0,93;0,93;0,92;0,93;0,95;0,999;0,71;0,58;0,56;0,38;0,69;0,95;0,96;0,94
"sub00041";0,62;0,38;0,001;0,01;0,56;0,59;0,67;0,71;0,72;0,55;0,4;0,55;0,001;0,001;0,55;0,06;0,001
"sub01089";0,68;0,51;0,82;0,78;0,92;0,33;0,66;0,5;0,76;0,29;0,27;0,7;0,64;0,76;0,91;0,87;0,84
"sub00943";0,69;0,66;0,06;0,71;0,72;0,67;0,67;0,77;0,8;0,91;0,08;0,94;0,9;0,9;0,92;0,96;0,72
"sub00123";0,11;0,36;0,6;0,56;0,29;0,22;0,2;0,17;0,39;0,49;0,32;0,41;0,56;0,5;0,62;0,56;0,54
"sub00654";0,69;0,47;0,07;0,23;0,74;0,74;0,76;0,73;0,49;0,51;0,22;0,28;0,18;0,75;0,999;0,36;0,35
"sub01477";0,18;0,57;0,13;0,23;0,15;0,54;0,45;0,29;0,69;0,22;0,55;0,05;0,001;0,001;0,6;0,02;0,2
"sub00477";0,5;0,05;0,63;0,92;0,86;0,61;0,55;0,39;0,49;0,73;0,35;0,27;0,64;0,08;0,87;0,73;0,75
"sub00357";0,49;0,56;0,69;0,49;0,32;0,18;0,63;0,6;0,09;0,45;0,22;0,15;0,34;0,26;0,42;0,15;0,11
"sub00386";0,61;0,74;0,11;0,79;0,63;0,87;0,999;0,999;0,999;0,87;0,02;0,01;0,84;0,8;0,9;0,49;0,67
"sub01366";0,8;0,25;0,87;0,75;0,73;0,62;0,83;0,75;0,65;0,84;0,79;0,78;0,61;0,25;0,98;0,87;0,32
"sub00471";0,36;0,25;0,65;0,7;0,57;0,54;0,69;0,63;0,75;0,61;0,39;0,64;0,39;0,67;0,69;0,86;0,94
"sub01283";0,47;0,49;0,999;0,98;0,48;0,49;0,51;0,51;0,999;0,999;0,001;0,999;0,02;0,01;0,999;0,999;0,999
"sub01550";0,33;0,21;0,64;0,82;0,66;0,97;0,999;0,58;0,7;0,39;0,06;0,13;0,7;0,89;0,69;0,56;0,15
"sub00646";0,68;0,22;0,999;0,77;0,51;0,51;0,51;0,24;0,48;0,25;0,15;0,09;0,08;0,22;0,64;0,48;0,13
"sub00521";0,5;0,49;0,79;0,74;0,51;0,51;0,67;0,68;0,52;0,5;0,01;0,51;0,999;0,49;0,999;0,74;0,79
"sub00767";0,38;0,35;0,63;0,999;0,44;0,29;0,52;0,52;0,67;0,44;0,001;0,31;0,58;0,07;0,999;0,28;0,65
"sub01422";0,6;0,75;0,68;0,87;0,65;0,93;0,97;0,999;0,91;0,66;0,66;0,26;0,46;0,7;0,65;0,22;0,1
"sub01120";0,09;0,78;0,93;0,999;0,46;0,9;0,999;0,999;0,43;0,85;0,35;0,28;0,53;0,36;0,74;0,37;0,999
"sub01265";0,66;0,73;0,999;0,9;0,79;0,73;0,73;0,64;0,65;0,69;0,37;0,06;0,001;0,83;0,07;0,31;0,49
